index,county_name,county_code,locationabbr,state_code,State_County_Code,POVERTY_RATE,YEAR
0,Autauga County,1,AL,1,1001,11.9,2010
1,Baldwin County,3,AL,1,1003,13.3,2010
2,Barbour County,5,AL,1,1005,25.3,2010
3,Bibb County,7,AL,1,1007,20.9,2010
4,Blount County,9,AL,1,1009,16.5,2010
5,Bullock County,11,AL,1,1011,31.1,2010
6,Butler County,13,AL,1,1013,28.1,2010
7,Calhoun County,15,AL,1,1015,23.5,2010
8,Chambers County,17,AL,1,1017,28.5,2010
9,Cherokee County,19,AL,1,1019,21.2,2010
10,Chilton County,21,AL,1,1021,20.4,2010
11,Choctaw County,23,AL,1,1023,20.7,2010
12,Clarke County,25,AL,1,1025,24.9,2010
13,Clay County,27,AL,1,1027,20.6,2010
14,Cleburne County,29,AL,1,1029,17.8,2010
15,Coffee County,31,AL,1,1031,20.1,2010
16,Colbert County,33,AL,1,1033,19.2,2010
17,Conecuh County,35,AL,1,1035,25.7,2010
18,Coosa County,37,AL,1,1037,18.6,2010
19,Covington County,39,AL,1,1039,20.9,2010
20,Crenshaw County,41,AL,1,1041,20.3,2010
21,Cullman County,43,AL,1,1043,19.2,2010
22,Dale County,45,AL,1,1045,17.8,2010
23,Dallas County,47,AL,1,1047,35.6,2010
24,DeKalb County,49,AL,1,1049,20.8,2010
25,Elmore County,51,AL,1,1051,12.5,2010
26,Escambia County,53,AL,1,1053,26.1,2010
27,Etowah County,55,AL,1,1055,19.0,2010
28,Fayette County,57,AL,1,1057,27.3,2010
29,Franklin County,59,AL,1,1059,21.6,2010
30,Geneva County,61,AL,1,1061,20.3,2010
31,Greene County,63,AL,1,1063,31.0,2010
32,Hale County,65,AL,1,1065,24.8,2010
33,Henry County,67,AL,1,1067,18.1,2010
34,Houston County,69,AL,1,1069,17.9,2010
35,Jackson County,71,AL,1,1071,19.9,2010
36,Jefferson County,73,AL,1,1073,18.6,2010
37,Lamar County,75,AL,1,1075,21.5,2010
38,Lauderdale County,77,AL,1,1077,17.6,2010
39,Lawrence County,79,AL,1,1079,18.1,2010
40,Lee County,81,AL,1,1081,21.3,2010
41,Limestone County,83,AL,1,1083,14.1,2010
42,Lowndes County,85,AL,1,1085,30.7,2010
43,Macon County,87,AL,1,1087,31.2,2010
44,Madison County,89,AL,1,1089,12.7,2010
45,Marengo County,91,AL,1,1091,23.6,2010
46,Marion County,93,AL,1,1093,20.9,2010
47,Marshall County,95,AL,1,1095,19.4,2010
48,Mobile County,97,AL,1,1097,20.5,2010
49,Monroe County,99,AL,1,1099,28.4,2010
50,Montgomery County,101,AL,1,1101,21.3,2010
51,Morgan County,103,AL,1,1103,14.1,2010
52,Perry County,105,AL,1,1105,39.5,2010
53,Pickens County,107,AL,1,1107,24.4,2010
54,Pike County,109,AL,1,1109,30.0,2010
55,Randolph County,111,AL,1,1111,24.8,2010
56,Russell County,113,AL,1,1113,24.1,2010
57,St. Clair County,115,AL,1,1115,13.0,2010
58,Shelby County,117,AL,1,1117,9.8,2010
59,Sumter County,119,AL,1,1119,31.3,2010
60,Talladega County,121,AL,1,1121,22.7,2010
61,Tallapoosa County,123,AL,1,1123,18.3,2010
62,Tuscaloosa County,125,AL,1,1125,18.0,2010
63,Walker County,127,AL,1,1127,23.2,2010
64,Washington County,129,AL,1,1129,19.6,2010
65,Wilcox County,131,AL,1,1131,39.6,2010
66,Winston County,133,AL,1,1133,20.3,2010
67,Aleutians East Borough,13,AK,2,2013,16.8,2010
68,Aleutians West Census Area,16,AK,2,2016,9.0,2010
69,Anchorage Borough,20,AK,2,2020,9.6,2010
70,Bethel Census Area,50,AK,2,2050,22.6,2010
71,Bristol Bay Borough,60,AK,2,2060,8.8,2010
72,Denali Borough,68,AK,2,2068,5.6,2010
73,Dillingham Census Area,70,AK,2,2070,20.6,2010
74,Fairbanks North Star Borough,90,AK,2,2090,9.4,2010
75,Haines Borough,100,AK,2,2100,12.1,2010
76,Hoonah-Angoon Census Area,105,AK,2,2105,19.4,2010
77,Juneau Borough,110,AK,2,2110,8.2,2010
78,Kenai Peninsula Borough,122,AK,2,2122,10.7,2010
79,Ketchikan Gateway Borough,130,AK,2,2130,10.0,2010
80,Kodiak Island Borough,150,AK,2,2150,8.3,2010
81,Lake and Peninsula Borough,164,AK,2,2164,17.7,2010
82,Matanuska-Susitna Borough,170,AK,2,2170,10.9,2010
83,Nome Census Area,180,AK,2,2180,24.6,2010
84,North Slope Borough,185,AK,2,2185,11.4,2010
85,Northwest Arctic Borough,188,AK,2,2188,20.0,2010
86,Petersburg Census Area,195,AK,2,2195,10.6,2010
87,Prince of Wales-Hyder Census Area,198,AK,2,2198,17.2,2010
88,Sitka Borough,220,AK,2,2220,9.1,2010
89,Skagway Municipality,230,AK,2,2230,4.2,2010
90,Southeast Fairbanks Census Area,240,AK,2,2240,13.4,2010
91,Valdez-Cordova Census Area,261,AK,2,2261,9.0,2010
92,Wade Hampton Census Area,270,AK,2,2270,34.1,2010
93,Wrangell City and Borough,275,AK,2,2275,13.1,2010
94,Yakutat Borough,282,AK,2,2282,14.7,2010
95,Yukon-Koyukuk Census Area,290,AK,2,2290,27.1,2010
96,Apache County,1,AZ,4,4001,34.5,2010
97,Cochise County,3,AZ,4,4003,17.7,2010
98,Coconino County,5,AZ,4,4005,23.8,2010
99,Gila County,7,AZ,4,4007,19.8,2010
100,Graham County,9,AZ,4,4009,21.6,2010
101,Greenlee County,11,AZ,4,4011,12.7,2010
102,La Paz County,12,AZ,4,4012,23.7,2010
103,Maricopa County,13,AZ,4,4013,16.6,2010
104,Mohave County,15,AZ,4,4015,18.7,2010
105,Navajo County,17,AZ,4,4017,27.8,2010
106,Pima County,19,AZ,4,4019,17.8,2010
107,Pinal County,21,AZ,4,4021,14.4,2010
108,Santa Cruz County,23,AZ,4,4023,28.0,2010
109,Yavapai County,25,AZ,4,4025,18.3,2010
110,Yuma County,27,AZ,4,4027,21.1,2010
111,Arkansas County,1,AR,5,5001,18.6,2010
112,Ashley County,3,AR,5,5003,19.4,2010
113,Baxter County,5,AR,5,5005,15.7,2010
114,Benton County,7,AR,5,5007,10.2,2010
115,Boone County,9,AR,5,5009,16.0,2010
116,Bradley County,11,AR,5,5011,28.5,2010
117,Calhoun County,13,AR,5,5013,15.6,2010
118,Carroll County,15,AR,5,5015,16.4,2010
119,Chicot County,17,AR,5,5017,30.7,2010
120,Clark County,19,AR,5,5019,22.2,2010
121,Clay County,21,AR,5,5021,18.3,2010
122,Cleburne County,23,AR,5,5023,18.6,2010
123,Cleveland County,25,AR,5,5025,15.5,2010
124,Columbia County,27,AR,5,5027,25.6,2010
125,Conway County,29,AR,5,5029,18.2,2010
126,Craighead County,31,AR,5,5031,21.1,2010
127,Crawford County,33,AR,5,5033,15.8,2010
128,Crittenden County,35,AR,5,5035,30.3,2010
129,Cross County,37,AR,5,5037,19.6,2010
130,Dallas County,39,AR,5,5039,19.4,2010
131,Desha County,41,AR,5,5041,28.0,2010
132,Drew County,43,AR,5,5043,20.9,2010
133,Faulkner County,45,AR,5,5045,14.8,2010
134,Franklin County,47,AR,5,5047,17.2,2010
135,Fulton County,49,AR,5,5049,18.9,2010
136,Garland County,51,AR,5,5051,21.7,2010
137,Grant County,53,AR,5,5053,11.9,2010
138,Greene County,55,AR,5,5055,17.0,2010
139,Hempstead County,57,AR,5,5057,21.8,2010
140,Hot Spring County,59,AR,5,5059,15.3,2010
141,Howard County,61,AR,5,5061,21.0,2010
142,Independence County,63,AR,5,5063,18.2,2010
143,Izard County,65,AR,5,5065,18.6,2010
144,Jackson County,67,AR,5,5067,25.8,2010
145,Jefferson County,69,AR,5,5069,22.7,2010
146,Johnson County,71,AR,5,5071,21.9,2010
147,Lafayette County,73,AR,5,5073,23.2,2010
148,Lawrence County,75,AR,5,5075,22.4,2010
149,Lee County,77,AR,5,5077,37.5,2010
150,Lincoln County,79,AR,5,5079,28.5,2010
151,Little River County,81,AR,5,5081,17.8,2010
152,Logan County,83,AR,5,5083,17.1,2010
153,Lonoke County,85,AR,5,5085,12.4,2010
154,Madison County,87,AR,5,5087,19.3,2010
155,Marion County,89,AR,5,5089,19.5,2010
156,Miller County,91,AR,5,5091,20.1,2010
157,Mississippi County,93,AR,5,5093,25.0,2010
158,Monroe County,95,AR,5,5095,26.6,2010
159,Montgomery County,97,AR,5,5097,22.2,2010
160,Nevada County,99,AR,5,5099,25.2,2010
161,Newton County,101,AR,5,5101,23.3,2010
162,Ouachita County,103,AR,5,5103,20.3,2010
163,Perry County,105,AR,5,5105,16.8,2010
164,Phillips County,107,AR,5,5107,36.0,2010
165,Pike County,109,AR,5,5109,21.2,2010
166,Poinsett County,111,AR,5,5111,27.1,2010
167,Polk County,113,AR,5,5113,22.8,2010
168,Pope County,115,AR,5,5115,17.7,2010
169,Prairie County,117,AR,5,5117,18.3,2010
170,Pulaski County,119,AR,5,5119,17.1,2010
171,Randolph County,121,AR,5,5121,19.2,2010
172,St. Francis County,123,AR,5,5123,32.7,2010
173,Saline County,125,AR,5,5125,9.6,2010
174,Scott County,127,AR,5,5127,22.5,2010
175,Searcy County,129,AR,5,5129,23.7,2010
176,Sebastian County,131,AR,5,5131,20.5,2010
177,Sevier County,133,AR,5,5133,23.5,2010
178,Sharp County,135,AR,5,5135,25.1,2010
179,Stone County,137,AR,5,5137,22.4,2010
180,Union County,139,AR,5,5139,21.6,2010
181,Van Buren County,141,AR,5,5141,20.9,2010
182,Washington County,143,AR,5,5143,19.6,2010
183,White County,145,AR,5,5145,16.7,2010
184,Woodruff County,147,AR,5,5147,25.9,2010
185,Yell County,149,AR,5,5149,20.3,2010
186,Alameda County,1,CA,6,6001,13.5,2010
187,Alpine County,3,CA,6,6003,16.9,2010
188,Amador County,5,CA,6,6005,12.8,2010
189,Butte County,7,CA,6,6007,20.1,2010
190,Calaveras County,9,CA,6,6009,11.1,2010
191,Colusa County,11,CA,6,6011,14.9,2010
192,Contra Costa County,13,CA,6,6013,9.3,2010
193,Del Norte County,15,CA,6,6015,23.5,2010
194,El Dorado County,17,CA,6,6017,9.4,2010
195,Fresno County,19,CA,6,6019,26.8,2010
196,Glenn County,21,CA,6,6021,17.6,2010
197,Humboldt County,23,CA,6,6023,18.0,2010
198,Imperial County,25,CA,6,6025,22.3,2010
199,Inyo County,27,CA,6,6027,13.9,2010
200,Kern County,29,CA,6,6029,21.4,2010
201,Kings County,31,CA,6,6031,22.5,2010
202,Lake County,33,CA,6,6033,21.0,2010
203,Lassen County,35,CA,6,6035,16.8,2010
204,Los Angeles County,37,CA,6,6037,17.6,2010
205,Madera County,39,CA,6,6039,21.7,2010
206,Marin County,41,CA,6,6041,9.2,2010
207,Mariposa County,43,CA,6,6043,14.8,2010
208,Mendocino County,45,CA,6,6045,19.6,2010
209,Merced County,47,CA,6,6047,23.1,2010
210,Modoc County,49,CA,6,6049,21.9,2010
211,Mono County,51,CA,6,6051,10.8,2010
212,Monterey County,53,CA,6,6053,17.1,2010
213,Napa County,55,CA,6,6055,10.7,2010
214,Nevada County,57,CA,6,6057,11.7,2010
215,Orange County,59,CA,6,6059,12.2,2010
216,Placer County,61,CA,6,6061,9.1,2010
217,Plumas County,63,CA,6,6063,15.3,2010
218,Riverside County,65,CA,6,6065,16.4,2010
219,Sacramento County,67,CA,6,6067,16.7,2010
220,San Benito County,69,CA,6,6069,12.7,2010
221,San Bernardino County,71,CA,6,6071,18.1,2010
222,San Diego County,73,CA,6,6073,14.8,2010
