NAME,COUNTY,STABREV,STATE,GEOCAT,FIPS,SAEPOVRTALL_PT
Autauga County,001,AL,01,050,01001,11.9
Baldwin County,003,AL,01,050,01003,13.3
Barbour County,005,AL,01,050,01005,25.3
Bibb County,007,AL,01,050,01007,20.9
Blount County,009,AL,01,050,01009,16.5
Bullock County,011,AL,01,050,01011,31.1
Butler County,013,AL,01,050,01013,28.1
Calhoun County,015,AL,01,050,01015,23.5
Chambers County,017,AL,01,050,01017,28.5
Cherokee County,019,AL,01,050,01019,21.2
Chilton County,021,AL,01,050,01021,20.4
Choctaw County,023,AL,01,050,01023,20.7
Clarke County,025,AL,01,050,01025,24.9
Clay County,027,AL,01,050,01027,20.6
Cleburne County,029,AL,01,050,01029,17.8
Coffee County,031,AL,01,050,01031,20.1
Colbert County,033,AL,01,050,01033,19.2
Conecuh County,035,AL,01,050,01035,25.7
Coosa County,037,AL,01,050,01037,18.6
Covington County,039,AL,01,050,01039,20.9
Crenshaw County,041,AL,01,050,01041,20.3
Cullman County,043,AL,01,050,01043,19.2
Dale County,045,AL,01,050,01045,17.8
Dallas County,047,AL,01,050,01047,35.6
DeKalb County,049,AL,01,050,01049,20.8
Elmore County,051,AL,01,050,01051,12.5
Escambia County,053,AL,01,050,01053,26.1
Etowah County,055,AL,01,050,01055,19.0
Fayette County,057,AL,01,050,01057,27.3
Franklin County,059,AL,01,050,01059,21.6
Geneva County,061,AL,01,050,01061,20.3
Greene County,063,AL,01,050,01063,31.0
Hale County,065,AL,01,050,01065,24.8
Henry County,067,AL,01,050,01067,18.1
Houston County,069,AL,01,050,01069,17.9
Jackson County,071,AL,01,050,01071,19.9
Jefferson County,073,AL,01,050,01073,18.6
Lamar County,075,AL,01,050,01075,21.5
Lauderdale County,077,AL,01,050,01077,17.6
Lawrence County,079,AL,01,050,01079,18.1
Lee County,081,AL,01,050,01081,21.3
Limestone County,083,AL,01,050,01083,14.1
Lowndes County,085,AL,01,050,01085,30.7
Macon County,087,AL,01,050,01087,31.2
Madison County,089,AL,01,050,01089,12.7
Marengo County,091,AL,01,050,01091,23.6
Marion County,093,AL,01,050,01093,20.9
Marshall County,095,AL,01,050,01095,19.4
