Sum of Weighted Samples,Column Labels,,,,,,
Row Labels,2008,2010,2012,2014,2016,2018,2020
AK,19.28,19.26,19.29,17.19,18.01,17.63,17.58
AL,14.43,14.96,14.94,15.29,15.74,15.56,14.86
AR,13.46,14.98,14.47,13.94,13.48,13.48,13.72
AZ,16.13,15.46,14.98,13.73,13.19,13.54,13.50
CA,17.50,17.71,16.84,15.55,14.82,14.90,15.96
CO,10.79,11.10,9.88,9.72,9.42,9.67,9.88
CT,15.47,15.17,14.98,14.02,13.39,12.92,12.92
DC,14.29,14.28,13.72,13.05,11.55,12.33,12.45
DE,16.27,16.83,16.44,15.70,15.91,15.65,16.75
FL,15.08,14.73,13.79,12.95,13.07,13.08,13.53
GA,14.65,13.95,13.12,12.59,12.29,12.65,12.44
GU,12.07,12.58,10.99,9.92,10.75,10.97,11.09
HI,11.76,11.18,11.43,11.33,10.74,11.49,11.32
IA,15.82,15.74,15.00,15.12,15.52,15.61,15.63
ID,13.28,12.95,12.09,11.84,11.73,12.13,12.00
IL,14.26,14.58,14.30,14.10,13.98,13.92,13.82
IN,14.98,15.38,14.86,14.35,13.38,13.63,13.27
KS,14.54,14.60,13.88,13.58,13.12,13.64,12.78
KY,17.05,17.89,13.27,13.17,16.21,16.27,15.68
LA,15.67,15.33,14.64,14.48,14.45,14.13,14.03
MA,17.25,16.90,16.23,15.73,15.62,15.51,16.16
MD,16.29,16.58,15.94,15.82,15.43,15.99,16.07
ME,15.39,15.06,14.02,13.68,13.47,13.94,14.54
MI,14.40,14.89,14.46,13.94,13.94,14.19,14.09
MN,14.14,13.73,13.48,13.13,13.42,13.56,13.32
MO,15.59,14.56,13.28,12.68,12.52,12.52,12.59
MS,16.64,15.84,15.41,14.51,14.35,13.78,13.79
MT,14.06,12.78,12.00,12.54,12.04,12.21,11.86
NC,13.77,13.56,12.80,14.35,13.78,14.00,13.40
ND,15.48,14.66,14.60,14.31,14.97,15.55,15.81
NE,15.25,15.24,16.89,16.81,14.71,14.19,13.70
NH,16.49,15.25,14.61,14.73,15.74,16.07,16.00
NJ,17.81,17.32,15.86,14.84,14.52,14.25,14.75
NM,12.78,15.40,13.48,12.43,11.96,12.76,11.88
NV,13.80,14.34,13.18,13.06,12.67,12.70,11.82
NY,16.13,16.09,14.79,14.10,13.60,13.69,13.30
OH,13.28,13.70,13.65,13.69,13.33,12.99,12.91
OK,15.32,15.69,15.17,13.19,13.07,13.55,12.92
OR,14.69,15.01,15.20,14.73,14.25,14.35,14.21
PA,12.66,13.87,13.96,13.37,13.17,13.64,13.44
PR,18.51,18.94,13.82,12.56,10.92,11.36,11.04
RI,17.18,16.17,15.93,15.92,15.03,16.38,16.15
SC,14.69,14.02,13.32,12.79,11.55,11.98,12.59
SD,17.30,18.00,15.55,17.22,18.36,15.59,15.75
TN,14.89,15.69,14.79,14.05,14.10,14.11,13.86
TX,17.30,16.89,15.89,15.05,14.98,15.74,15.63
UT,14.02,13.33,9.11,8.93,8.97,9.04,8.98
VA,21.44,21.73,20.76,20.45,14.98,15.51,15.08
VI,13.82,12.08,11.71,11.14,12.65,14.67,12.71
VT,13.41,13.18,13.19,13.75,14.74,14.07,14.10
WA,15.86,15.56,15.03,14.20,14.04,14.31,15.06
WI,15.29,15.99,15.65,15.24,14.94,14.98,15.56
WV,13.30,12.84,13.17,15.07,15.44,15.39,15.51
WY,10.63,13.10,12.11,9.72,9.68,10.53,10.92
