restaurant_name,name_id
Albertos,1
KFC Imperial Beach,2
McDonald's,3
Don Pancho's,4
Five Guys,5
Jack in The Box,6
BURGER KING,7
Jack in The Box,8
Carl's Junior,9
El Pollo Loco,10
Carl's Junior,11
Rally's,12
McDonald's,13
Carl's Junior,14
Panda Express,15
Oasis Ice Cream Parlor,16
Taco Bell,17
KFC,18
McDonald's,19
Popeyes,20
Wienerschnitzel,21
Cinnabon Las Americas Premium Outlets,22
McDonald's,23
KFC,24
Taqueria Revolucion,25
Jack in The Box,26
Coney Island West,27
Armando's Mexican Food,28
Eric's on The Pier,29
Tuetano Taqueria,30
KFC,31
All American Sandwiches 'N Pizza,32
BURGER KING,33
Taco Bell,34
Luzita's Taco Shop,35
Popeyes,36
Panda Express,37
Panda Express,38
McDonald's,39
Jack in The Box,40
Mrs. Rice's Oriental Restaurant,41
Chick-fil-A,42
Carl's Junior,43
Jack in The Box,44
Yoshinoya,45
KFC San Diego,46
KFC Chula Vista,47
McDonald's,48
Auntie Anne's,49
Great Happiness Chinese Fast Food 2 Cove,50
McDonald's,51
McDonald's,52
Jack in The Box,53
McDonald's,54
El Pollo Loco,55
Five Guys,56
Asada Taco Shop,57
Jack in The Box,58
McDonald's,59
Carl's Junior,60
McDonald's,61
Buffalo Wild Wings,62
Wienerschnitzel,63
Carl's Junior,64
McDonald's,65
Taco Bell,66
BURGER KING,67
Panda Express,68
Rally's,69
Carl's Junior,70
Jack in The Box,71
Loma Bonita Mexican Food,72
Taco Bell,73
Jack in The Box,74
Wienerschnitzel,75
El Pollo Loco,76
Mac King Cheese,77
Clayton's Take Out,78
McDonald's,79
Tacos El Gordo de Tijuana,80
BURGER KING,81
Panda Express,82
Five Guys,83
Ortiz's Taco Shop,84
La India Bonita,85
Adalberto's Mexican Food,86
Roberto's Taco Shop Ocean Beach,87
BURGER KING,88
McDonald's,89
Smashburger,90
Jack in The Box,91
Auntie Anne's North Island Naval Station Exchange,92
Filippis Pizza Grotto,93
Ahan Lao,94
KFC Coronado,95
Wienerschnitzel,96
Albertos,97
KFC Imperial Beach,98
McDonald's,99
Don Pancho's,100
Five Guys,101
Jack in The Box,102
BURGER KING,103
Jack in The Box,104
Carl's Junior,105
El Pollo Loco,106
Carl's Junior,107
Rally's,108
McDonald's,109
Tuetano Taqueria,110
Carl's Junior,111
Panda Express,112
KFC,113
Oasis Ice Cream Parlor,114
Taco Bell,115
KFC,116
McDonald's,117
Popeyes,118
Wienerschnitzel,119
Cinnabon Las Americas Premium Outlets,120
McDonald's,121
KFC,122
Taqueria Revolucion,123
Jack in The Box,124
Armando's Mexican Food,125
All American Sandwiches 'N Pizza,126
BURGER KING,127
Taco Bell,128
Luzita's Taco Shop,129
Popeyes,130
Panda Express,131
Jack in The Box,132
Mrs. Rice's Oriental Restaurant,133
Chick-fil-A,134
Yoshinoya,135
KFC Chula Vista,136
McDonald's,137
McDonald's,138
El Pollo Loco,139
Taco Bell,140
Carl's Junior,141
Jack in The Box,142
KFC San Diego,143
Carl's Junior,144
Great Happiness Chinese Fast Food 2 Cove,145
Wienerschnitzel,146
McDonald's,147
BURGER KING,148
McDonald's,149
Asada Taco Shop,150
Carl's Junior,151
Carl's Junior,152
McDonald's,153
BURGER KING,154
Panda Express,155
Rally's,156
Auntie Anne's,157
Jack in The Box,158
El Pollo Loco,159
Tacos El Gordo de Tijuana,160
Panda Express,161
Panda Express,162
Jack in The Box,163
Five Guys,164
Jack in The Box,165
La India Bonita,166
McDonald's,167
McDonald's,168
Buffalo Wild Wings,169
Wienerschnitzel,170
Ahan Lao,171
Loma Bonita Mexican Food,172
Taco Bell,173
Wendy's,174
Clayton's Take Out,175
Five Guys,176
McDonald's,177
Jack in The Box,178
Auntie Anne's North Island Naval Station Exchange,179
Filippis Pizza Grotto,180
KFC Chula Vista,181
Bull's Eye Burgers & Brew,182
Jack in The Box,183
Jack in The Box,184
