index,locationabbr,state_code,State_County_Code,POVERTY_RATE,YEAR
0,AL,01,01001,11.9,2010
1,AL,01,01003,13.3,2010
2,AL,01,01005,25.3,2010
3,AL,01,01007,20.9,2010
4,AL,01,01009,16.5,2010
5,AL,01,01011,31.1,2010
6,AL,01,01013,28.1,2010
7,AL,01,01015,23.5,2010
8,AL,01,01017,28.5,2010
9,AL,01,01019,21.2,2010
10,AL,01,01021,20.4,2010
11,AL,01,01023,20.7,2010
12,AL,01,01025,24.9,2010
13,AL,01,01027,20.6,2010
14,AL,01,01029,17.8,2010
15,AL,01,01031,20.1,2010
16,AL,01,01033,19.2,2010
17,AL,01,01035,25.7,2010
18,AL,01,01037,18.6,2010
19,AL,01,01039,20.9,2010
20,AL,01,01041,20.3,2010
21,AL,01,01043,19.2,2010
22,AL,01,01045,17.8,2010
23,AL,01,01047,35.6,2010
24,AL,01,01049,20.8,2010
25,AL,01,01051,12.5,2010
26,AL,01,01053,26.1,2010
27,AL,01,01055,19.0,2010
28,AL,01,01057,27.3,2010
29,AL,01,01059,21.6,2010
30,AL,01,01061,20.3,2010
31,AL,01,01063,31.0,2010
32,AL,01,01065,24.8,2010
33,AL,01,01067,18.1,2010
34,AL,01,01069,17.9,2010
35,AL,01,01071,19.9,2010
36,AL,01,01073,18.6,2010
37,AL,01,01075,21.5,2010
38,AL,01,01077,17.6,2010
39,AL,01,01079,18.1,2010
40,AL,01,01081,21.3,2010
41,AL,01,01083,14.1,2010
42,AL,01,01085,30.7,2010
43,AL,01,01087,31.2,2010
44,AL,01,01089,12.7,2010
45,AL,01,01091,23.6,2010
46,AL,01,01093,20.9,2010
47,AL,01,01095,19.4,2010
48,AL,01,01097,20.5,2010
49,AL,01,01099,28.4,2010
50,AL,01,01101,21.3,2010
51,AL,01,01103,14.1,2010
52,AL,01,01105,39.5,2010
53,AL,01,01107,24.4,2010
54,AL,01,01109,30.0,2010
55,AL,01,01111,24.8,2010
56,AL,01,01113,24.1,2010
57,AL,01,01115,13.0,2010
58,AL,01,01117,9.8,2010
59,AL,01,01119,31.3,2010
60,AL,01,01121,22.7,2010
61,AL,01,01123,18.3,2010
62,AL,01,01125,18.0,2010
63,AL,01,01127,23.2,2010
64,AL,01,01129,19.6,2010
65,AL,01,01131,39.6,2010
66,AL,01,01133,20.3,2010
67,AK,02,02013,16.8,2010
68,AK,02,02016,9.0,2010
69,AK,02,02020,9.6,2010
70,AK,02,02050,22.6,2010
71,AK,02,02060,8.8,2010
72,AK,02,02068,5.6,2010
73,AK,02,02070,20.6,2010
74,AK,02,02090,9.4,2010
75,AK,02,02100,12.1,2010
76,AK,02,02105,19.4,2010
77,AK,02,02110,8.2,2010
78,AK,02,02122,10.7,2010
79,AK,02,02130,10.0,2010
80,AK,02,02150,8.3,2010
81,AK,02,02164,17.7,2010
82,AK,02,02170,10.9,2010
83,AK,02,02180,24.6,2010
84,AK,02,02185,11.4,2010
85,AK,02,02188,20.0,2010
86,AK,02,02195,10.6,2010
87,AK,02,02198,17.2,2010
88,AK,02,02220,9.1,2010
89,AK,02,02230,4.2,2010
90,AK,02,02240,13.4,2010
91,AK,02,02261,9.0,2010
92,AK,02,02270,34.1,2010
93,AK,02,02275,13.1,2010
94,AK,02,02282,14.7,2010
95,AK,02,02290,27.1,2010
96,AZ,04,04001,34.5,2010
97,AZ,04,04003,17.7,2010
98,AZ,04,04005,23.8,2010
99,AZ,04,04007,19.8,2010
100,AZ,04,04009,21.6,2010
101,AZ,04,04011,12.7,2010
102,AZ,04,04012,23.7,2010
103,AZ,04,04013,16.6,2010
104,AZ,04,04015,18.7,2010
105,AZ,04,04017,27.8,2010
106,AZ,04,04019,17.8,2010
107,AZ,04,04021,14.4,2010
108,AZ,04,04023,28.0,2010
109,AZ,04,04025,18.3,2010
110,AZ,04,04027,21.1,2010
111,AR,05,05001,18.6,2010
112,AR,05,05003,19.4,2010
113,AR,05,05005,15.7,2010
114,AR,05,05007,10.2,2010
115,AR,05,05009,16.0,2010
116,AR,05,05011,28.5,2010
117,AR,05,05013,15.6,2010
118,AR,05,05015,16.4,2010
119,AR,05,05017,30.7,2010
120,AR,05,05019,22.2,2010
121,AR,05,05021,18.3,2010
122,AR,05,05023,18.6,2010
123,AR,05,05025,15.5,2010
124,AR,05,05027,25.6,2010
125,AR,05,05029,18.2,2010
126,AR,05,05031,21.1,2010
127,AR,05,05033,15.8,2010
128,AR,05,05035,30.3,2010
129,AR,05,05037,19.6,2010
130,AR,05,05039,19.4,2010
131,AR,05,05041,28.0,2010
132,AR,05,05043,20.9,2010
133,AR,05,05045,14.8,2010
134,AR,05,05047,17.2,2010
135,AR,05,05049,18.9,2010
136,AR,05,05051,21.7,2010
137,AR,05,05053,11.9,2010
138,AR,05,05055,17.0,2010
139,AR,05,05057,21.8,2010
140,AR,05,05059,15.3,2010
141,AR,05,05061,21.0,2010
142,AR,05,05063,18.2,2010
143,AR,05,05065,18.6,2010
144,AR,05,05067,25.8,2010
145,AR,05,05069,22.7,2010
146,AR,05,05071,21.9,2010
147,AR,05,05073,23.2,2010
148,AR,05,05075,22.4,2010
149,AR,05,05077,37.5,2010
150,AR,05,05079,28.5,2010
151,AR,05,05081,17.8,2010
152,AR,05,05083,17.1,2010
153,AR,05,05085,12.4,2010
154,AR,05,05087,19.3,2010
155,AR,05,05089,19.5,2010
156,AR,05,05091,20.1,2010
157,AR,05,05093,25.0,2010
158,AR,05,05095,26.6,2010
159,AR,05,05097,22.2,2010
160,AR,05,05099,25.2,2010
161,AR,05,05101,23.3,2010
162,AR,05,05103,20.3,2010
163,AR,05,05105,16.8,2010
164,AR,05,05107,36.0,2010
165,AR,05,05109,21.2,2010
166,AR,05,05111,27.1,2010
167,AR,05,05113,22.8,2010
168,AR,05,05115,17.7,2010
169,AR,05,05117,18.3,2010
170,AR,05,05119,17.1,2010
171,AR,05,05121,19.2,2010
172,AR,05,05123,32.7,2010
173,AR,05,05125,9.6,2010
174,AR,05,05127,22.5,2010
175,AR,05,05129,23.7,2010
176,AR,05,05131,20.5,2010
177,AR,05,05133,23.5,2010
178,AR,05,05135,25.1,2010
179,AR,05,05137,22.4,2010
180,AR,05,05139,21.6,2010
181,AR,05,05141,20.9,2010
182,AR,05,05143,19.6,2010
183,AR,05,05145,16.7,2010
184,AR,05,05147,25.9,2010
185,AR,05,05149,20.3,2010
186,CA,06,06001,13.5,2010
187,CA,06,06003,16.9,2010
188,CA,06,06005,12.8,2010
189,CA,06,06007,20.1,2010
190,CA,06,06009,11.1,2010
191,CA,06,06011,14.9,2010
192,CA,06,06013,9.3,2010
193,CA,06,06015,23.5,2010
194,CA,06,06017,9.4,2010
195,CA,06,06019,26.8,2010
196,CA,06,06021,17.6,2010
197,CA,06,06023,18.0,2010
198,CA,06,06025,22.3,2010
199,CA,06,06027,13.9,2010
200,CA,06,06029,21.4,2010
201,CA,06,06031,22.5,2010
202,CA,06,06033,21.0,2010
203,CA,06,06035,16.8,2010
204,CA,06,06037,17.6,2010
205,CA,06,06039,21.7,2010
206,CA,06,06041,9.2,2010
207,CA,06,06043,14.8,2010
208,CA,06,06045,19.6,2010
209,CA,06,06047,23.1,2010
210,CA,06,06049,21.9,2010
211,CA,06,06051,10.8,2010
212,CA,06,06053,17.1,2010
213,CA,06,06055,10.7,2010
214,CA,06,06057,11.7,2010
215,CA,06,06059,12.2,2010
216,CA,06,06061,9.1,2010
217,CA,06,06063,15.3,2010
218,CA,06,06065,16.4,2010
219,CA,06,06067,16.7,2010
220,CA,06,06069,12.7,2010
221,CA,06,06071,18.1,2010
222,CA,06,06073,14.8,2010
223,CA,06,06075,12.8,2010
224,CA,06,06077,19.0,2010
225,CA,06,06079,14.3,2010
226,CA,06,06081,7.0,2010
227,CA,06,06083,17.7,2010
228,CA,06,06085,10.6,2010
229,CA,06,06087,14.2,2010
230,CA,06,06089,18.2,2010
231,CA,06,06091,13.4,2010
232,CA,06,06093,21.5,2010
233,CA,06,06095,12.2,2010
234,CA,06,06097,12.8,2010
235,CA,06,06099,19.7,2010
236,CA,06,06101,16.8,2010
237,CA,06,06103,20.4,2010
238,CA,06,06105,18.4,2010
239,CA,06,06107,24.6,2010
240,CA,06,06109,15.2,2010
241,CA,06,06111,11.0,2010
242,CA,06,06113,16.4,2010
243,CA,06,06115,20.7,2010
244,CO,08,08001,13.0,2010
245,CO,08,08003,21.0,2010
246,CO,08,08005,11.4,2010
247,CO,08,08007,13.1,2010
248,CO,08,08009,17.3,2010
249,CO,08,08011,30.9,2010
250,CO,08,08013,13.6,2010
251,CO,08,08014,6.0,2010
252,CO,08,08015,12.9,2010
253,CO,08,08017,12.1,2010
254,CO,08,08019,8.6,2010
255,CO,08,08021,21.3,2010
256,CO,08,08023,25.7,2010
257,CO,08,08025,34.7,2010
258,CO,08,08027,15.0,2010
259,CO,08,08029,15.7,2010
260,CO,08,08031,21.3,2010
261,CO,08,08033,12.9,2010
262,CO,08,08035,3.5,2010
263,CO,08,08037,8.5,2010
264,CO,08,08039,6.5,2010
265,CO,08,08041,13.4,2010
266,CO,08,08043,16.7,2010
267,CO,08,08045,9.6,2010
268,CO,08,08047,7.5,2010
269,CO,08,08049,8.3,2010
270,CO,08,08051,14.5,2010
271,CO,08,08053,9.4,2010
272,CO,08,08055,22.7,2010
273,CO,08,08057,15.1,2010
274,CO,08,08059,8.8,2010
275,CO,08,08061,13.0,2010
276,CO,08,08063,14.0,2010
277,CO,08,08065,14.4,2010
278,CO,08,08067,11.5,2010
279,CO,08,08069,13.6,2010
280,CO,08,08071,18.8,2010
