index,YearStart,LocationAbbr,Data_Value,Latitude,Longitude,Sample_Size,Question,Age_Category,States,Counties,Stratification1
0,1970-01-01 00:00:00.000002018,WA,13.7,47.52227862900048,-120.47001078999972,12230.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,6.0,2956.0,18 - 23
1,1970-01-01 00:00:00.000002018,HI,10.2,21.304850435000446,-157.85774940299973,2192.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,4.0,1657.0,Hispanic
2,1970-01-01 00:00:00.000002020,MA,17.6,42.27687047000046,-72.08269067499964,13520.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,25.0,1919.0,Hispanic
3,1970-01-01 00:00:00.000002020,TN,18.9,35.68094058000048,-85.77449091399967,4947.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,39.0,2159.0,Hispanic
5,1970-01-01 00:00:00.000002020,HI,11.6,21.304850435000446,-157.85774940299973,1710.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,4.0,1657.0,Hispanic
6,1970-01-01 00:00:00.000002018,OH,17.1,40.06021014100048,-82.40426005599966,7260.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,38.0,587.0,Hispanic
7,1970-01-01 00:00:00.000002018,ME,14.1,45.254228894000505,-68.98503133599962,306.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,49.0,1725.0,Hispanic
8,1970-01-01 00:00:00.000002020,MN,10.6,46.35564873600049,-94.79420050299967,6131.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,1.0,392.0,Non-Hispanic White
9,1970-01-01 00:00:00.000002018,WY,8.1,43.23554134300048,-108.10983035299967,880.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,14.0,3084.0,Hispanic
10,1970-01-01 00:00:00.000002018,MT,15.2,47.06652897200047,-109.42442064499971,2252.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,2.0,2283.0,36 - 47
11,1970-01-01 00:00:00.000002018,DE,10.7,39.008830667000495,-75.57774116799965,2265.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,43.0,1046.0,Female
12,1970-01-01 00:00:00.000002018,ID,12.6,43.682630005000476,-114.3637300419997,6801.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,5.0,1687.0,Male
13,1970-01-01 00:00:00.000002018,LA,12.3,31.31266064400046,-92.44568007099969,389.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,22.0,1697.0,Asian/Pacific Islander
14,1970-01-01 00:00:00.000002018,HI,13.2,21.304850435000446,-157.85774940299973,6961.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,4.0,1657.0,Asian/Pacific Islander
15,1970-01-01 00:00:00.000002018,CA,10.4,37.63864012300047,-120.99999953799971,32693.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,8.0,1340.0,Non-Hispanic White
16,1970-01-01 00:00:00.000002018,NM,13.2,34.52088095200048,-106.24058098499967,5998.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,11.0,616.0,36 - 47
17,1970-01-01 00:00:00.000002018,WY,12.9,43.23554134300048,-108.10983035299967,1537.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,14.0,3084.0,Female
18,1970-01-01 00:00:00.000002018,ME,13.7,45.254228894000505,-68.98503133599962,3560.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,49.0,1725.0,Female
19,1970-01-01 00:00:00.000002018,NH,21.5,43.65595011300047,-71.50036091999965,913.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,26.0,2405.0,Hispanic
20,1970-01-01 00:00:00.000002018,AZ,13.6,34.865970280000454,-111.76381127699972,20842.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,7.0,986.0,36 - 47
21,1970-01-01 00:00:00.000002018,WA,12.3,47.52227862900048,-120.47001078999972,6006.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,6.0,2956.0,Non-Hispanic Black
22,1970-01-01 00:00:00.000002018,GA,17.3,32.83968109300048,-83.62758034599966,16497.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,31.0,1149.0,Hispanic
23,1970-01-01 00:00:00.000002018,MD,18.9,39.29058096400047,-76.60926011099963,10247.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,45.0,1857.0,48 - 59
24,1970-01-01 00:00:00.000002018,OH,12.0,40.06021014100048,-82.40426005599966,32618.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,38.0,587.0,Female
25,1970-01-01 00:00:00.000002018,SC,10.4,33.998821303000454,-81.04537120699968,13819.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,33.0,2581.0,Male
26,1970-01-01 00:00:00.000002018,WV,18.5,38.66551020200046,-80.71264013499967,384.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,42.0,2749.0,Hispanic
27,1970-01-01 00:00:00.000002018,SD,19.9,44.353130053000484,-100.3735306369997,2198.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,21.0,2732.0,American Indian/Alaska Native
28,1970-01-01 00:00:00.000002018,PA,13.9,40.79373015200048,-77.86070029399963,19558.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,48.0,2495.0,Non-Hispanic Black
29,1970-01-01 00:00:00.000002018,NV,14.6,39.493240390000494,-117.07184056399967,12358.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,10.0,481.0,Male
30,1970-01-01 00:00:00.000002018,MI,11.1,44.6613195430005,-84.71439026999968,25821.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,50.0,436.0,Female
31,1970-01-01 00:00:00.000002018,IA,17.0,42.46940091300047,-93.81649055599968,5751.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,16.0,281.0,48 - 59
32,1970-01-01 00:00:00.000002018,ID,16.7,43.682630005000476,-114.3637300419997,4541.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,5.0,1687.0,Hispanic
34,1970-01-01 00:00:00.000002018,ME,11.2,45.254228894000505,-68.98503133599962,912.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,49.0,1725.0,Non-Hispanic Black
35,1970-01-01 00:00:00.000002018,WV,18.2,38.66551020200046,-80.71264013499967,3016.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,42.0,2749.0,48 - 59
36,1970-01-01 00:00:00.000002018,MO,13.5,38.635790776000476,-92.56630005299968,185.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,18.0,532.0,American Indian/Alaska Native
37,1970-01-01 00:00:00.000002018,UT,6.0,39.360700171000474,-111.58713063499971,5356.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,13.0,900.0,6 - 11
38,1970-01-01 00:00:00.000002018,NM,20.3,34.52088095200048,-106.24058098499967,1154.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,11.0,616.0,American Indian/Alaska Native
39,1970-01-01 00:00:00.000002018,WY,13.6,43.23554134300048,-108.10983035299967,2112.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,14.0,3084.0,Non-Hispanic White
40,1970-01-01 00:00:00.000002018,HI,12.5,21.304850435000446,-157.85774940299973,4473.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,4.0,1657.0,24 - 35
41,1970-01-01 00:00:00.000002018,NY,14.6,42.82700103200045,-75.54397042699964,69273.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,47.0,2092.0,24 - 35
42,1970-01-01 00:00:00.000002018,SC,12.4,33.998821303000454,-81.04537120699968,6004.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,33.0,2581.0,18 - 23
43,1970-01-01 00:00:00.000002018,WA,10.0,47.52227862900048,-120.47001078999972,18580.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,6.0,2956.0,Non-Hispanic White
45,1970-01-01 00:00:00.000002018,MD,16.4,39.29058096400047,-76.60926011099963,4029.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,45.0,1857.0,18 - 23
46,1970-01-01 00:00:00.000002018,MT,14.6,47.06652897200047,-109.42442064499971,1594.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,2.0,2283.0,48 - 59
47,1970-01-01 00:00:00.000002018,FL,13.0,28.932040377000476,-81.92896053899966,87996.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,30.0,1112.0,Female
48,1970-01-01 00:00:00.000002018,NE,10.4,41.6410409880005,-99.36572062299967,5041.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,19.0,2243.0,Non-Hispanic White
49,1970-01-01 00:00:00.000002018,MA,14.8,42.27687047000046,-72.08269067499964,7377.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,25.0,1919.0,Non-Hispanic Black
50,1970-01-01 00:00:00.000002018,WA,17.4,47.52227862900048,-120.47001078999972,17092.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,6.0,2956.0,48 - 59
51,1970-01-01 00:00:00.000002018,KY,16.7,37.645970271000465,-84.77497104799966,16858.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,36.0,235.0,Non-Hispanic White
52,1970-01-01 00:00:00.000002018,KY,8.3,37.645970271000465,-84.77497104799966,818.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,36.0,235.0,3 - 5
