FIPS,State,County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults Reporting Currently Smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Children in Single-Parent Households,Social Association Rate,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,
01000,Alabama,,19,3.5,5.1,10,20,39,5.3,28,61,16,26,552.2,28,12,1520:1,2054:1,797:1,3599,36,44,87,62,3.4,23,5.2,31,11.9,87,,13,84,35,
01001,Alabama,Autauga,17,3.4,4.8,10,18,37,6.6,26,56,17,32,563.8,23,11,2246:1,3110:1,2814:1,4372,38,42,90,60,2.8,16,4.8,27,12.6,69,No,14,86,42,
01003,Alabama,Baldwin,15,3.3,4.8,8,17,33,7.5,23,66,19,32,352.1,24,11,1529:1,2099:1,957:1,2864,39,47,91,66,3.0,16,4.3,19,9.6,75,Yes,12,81,38,
01005,Alabama,Barbour,28,4.6,5.0,12,26,46,5.8,36,55,13,38,627.9,35,14,3074:1,3121:1,4161:1,3559,41,40,76,39,5.7,35,5.2,54,9.4,82,Yes,16,83,37,
01007,Alabama,Bibb,22,4.0,5.4,10,23,38,7.4,32,18,16,21,549.3,34,13,1581:1,3746:1,2497:1,4856,31,34,81,37,3.5,29,5.0,29,9.0,103,No,11,87,55,
01009,Alabama,Blount,18,3.9,5.4,8,22,33,7.8,29,41,16,15,290.5,30,13,4823:1,5904:1,4920:1,3010,32,42,84,57,2.4,17,4.8,22,6.7,105,No,10,86,60,
01011,Alabama,Bullock,30,4.7,5.1,15,26,48,4.3,40,3,13,35,782.1,40,12,3325:1,5160:1,5160:1,3047,35,32,78,36,4.0,42,6.3,68,7.0,98,No,13,84,49,
01013,Alabama,Butler,23,4.2,5.2,13,22,45,6.8,32,45,14,35,791.9,39,13,4876:1,2698:1,1180:1,4201,33,34,86,41,5.3,34,5.3,33,9.2,106,No,12,87,35,
01015,Alabama,Calhoun,20,3.8,4.9,9,21,37,6.0,28,65,16,14,449.8,30,13,1669:1,1526:1,670:1,3722,30,39,85,55,4.1,25,4.8,30,13.4,93,No,12,85,30,
01017,Alabama,Chambers,22,4.1,5.5,13,22,41,6.9,32,50,15,30,481.1,37,13,2348:1,4934:1,11514:1,3181,29,44,83,56,3.7,32,4.2,33,18.9,101,No,17,87,28,
01019,Alabama,Cherokee,19,3.9,5.5,8,23,41,7.4,29,38,18,18,267.2,33,13,2629:1,6249:1,4166:1,3916,31,47,80,50,2.5,27,4.8,25,8.4,98,No,9,85,46,
01021,Alabama,Chilton,20,3.9,5.5,9,22,38,7.1,31,33,16,22,310.6,43,15,4440:1,3483:1,1372:1,4009,31,41,82,44,2.9,22,4.1,20,14.9,88,No,15,83,51,
01023,Alabama,Choctaw,23,4.2,5.4,12,22,41,6.1,31,25,15,57,357.5,30,13,2484:1,2089:1,12533:1,3102,45,34,81,53,4.4,32,6.3,44,19.3,97,No,10,83,48,
01025,Alabama,Clarke,24,4.3,5.2,13,23,41,5.1,32,53,13,33,626.5,38,14,2117:1,2845:1,1084:1,3547,29,30,82,42,6.0,29,5.9,42,16.3,99,Yes,12,90,35,
01027,Alabama,Clay,21,4.1,5.5,8,23,39,7.5,31,64,16,39,400.5,34,14,3278:1,7095:1,7095:1,4412,29,40,83,42,2.7,28,6.3,20,12.2,104,No,8,85,41,
01029,Alabama,Cleburne,19,4.0,5.4,8,22,38,7.3,29,42,17,31,194.5,31,13,3742:1,,1888:1,3277,26,39,83,49,2.6,22,4.6,21,8.0,111,No,9,85,56,
01031,Alabama,Coffee,19,3.9,5.4,9,20,44,6.9,30,49,15,33,498.6,26,14,2129:1,2851:1,1083:1,3313,40,36,86,63,2.8,24,4.8,31,12.6,71,No,10,86,31,
01033,Alabama,Colbert,19,3.8,5.4,11,21,37,6.7,29,65,16,28,597.4,30,10,1583:1,2053:1,1916:1,4273,30,47,87,56,4.0,24,4.6,35,16.2,77,Yes,11,86,25,
01035,Alabama,Conecuh,24,4.3,5.6,14,24,43,6.2,35,37,14,14,480.6,31,11,2370:1,5664:1,1888:1,8348,28,42,88,45,4.8,34,4.2,50,7.6,106,No,8,87,41,
01037,Alabama,Coosa,20,3.9,5.4,15,22,42,7.2,30,5,16,30,647.1,33,12,,,5225:1,2604,34,44,85,46,3.1,30,4.1,28,11.3,112,No,11,78,37,
01039,Alabama,Covington,20,4.0,5.5,11,21,45,6.9,28,58,15,21,394.1,40,12,1847:1,2680:1,1251:1,5332,37,39,85,49,3.0,28,5.5,32,11.6,89,No,13,89,28,
01041,Alabama,Crenshaw,21,4.0,5.2,11,22,40,6.4,31,24,15,50,617.2,32,13,6841:1,4361:1,1454:1,3098,37,36,81,46,3.3,29,5.8,33,9.5,96,No,8,76,46,
01043,Alabama,Cullman,18,3.8,5.1,9,21,38,7.5,29,48,17,28,242.3,37,14,1761:1,2081:1,653:1,4276,40,52,84,58,2.4,18,4.2,20,9.9,98,No,11,85,33,
01045,Alabama,Dale,20,3.9,5.2,8,21,39,6.5,29,25,16,22,606.0,32,14,3766:1,3084:1,759:1,3964,36,41,85,58,3.1,23,5.2,31,10.4,81,No,12,81,27,
01047,Alabama,Dallas,27,4.4,5.3,14,23,48,5.8,35,56,12,39,629.1,35,11,1245:1,3135:1,1393:1,4876,35,38,86,55,7.4,45,5.4,59,14.4,116,No,17,88,32,
01049,Alabama,DeKalb,23,4.3,5.6,8,23,42,,32,43,16,27,246.1,35,19,2239:1,3420:1,2476:1,3274,27,42,78,49,2.5,29,5.0,21,8.4,103,No,11,83,33,
01051,Alabama,Elmore,17,3.5,5.5,9,19,37,7.8,25,52,16,36,408.8,24,11,4324:1,7442:1,3883:1,3789,39,40,88,55,2.7,17,4.1,24,10.2,76,No,12,86,47,
01053,Alabama,Escambia,25,4.4,5.5,10,25,44,6.6,34,39,14,31,551.4,42,14,3023:1,2447:1,1265:1,4960,29,35,82,38,4.1,30,5.2,43,14.6,117,No,10,91,27,
01055,Alabama,Etowah,19,3.8,5.4,9,21,41,6.2,29,61,15,13,486.0,38,14,1312:1,1984:1,753:1,4452,24,39,86,56,4.1,25,4.8,33,15.3,96,No,10,89,28,
01057,Alabama,Fayette,21,4.2,5.7,10,24,39,7.2,32,32,16,26,398.7,36,14,1015:1,3230:1,5383:1,3577,35,49,83,45,3.1,27,5.6,30,7.4,94,Yes,12,86,46,
01059,Alabama,Franklin,22,4.2,5.4,10,23,38,7.2,32,57,16,15,373.1,44,16,2251:1,3557:1,8003:1,5080,26,43,79,39,2.5,25,4.4,31,7.6,88,No,10,83,39,
01061,Alabama,Geneva,22,4.2,5.9,8,24,38,6.7,32,35,16,26,422.5,40,15,3773:1,13351:1,3814:1,3393,31,46,82,46,2.8,29,4.9,25,9.1,85,No,12,87,41,
01063,Alabama,Greene,32,4.9,5.6,16,27,49,4.0,41,4,11,38,1158.9,46,12,1998:1,,7629:1,3884,26,32,84,57,6.9,52,5.8,76,8.8,85,No,17,64,42,
01065,Alabama,Hale,26,4.4,5.3,12,24,47,6.2,36,28,13,43,1105.7,34,11,4890:1,7377:1,4918:1,4572,33,35,81,49,5.7,33,6.2,50,6.1,93,No,15,91,54,
01067,Alabama,Henry,20,3.9,5.2,11,21,42,7.2,29,18,16,24,651.0,28,12,3445:1,3492:1,2910:1,3287,37,40,81,46,3.2,25,5.2,26,12.8,84,No,9,87,37,
01069,Alabama,Houston,20,3.7,5.2,11,21,39,7.3,32,75,15,33,767.8,33,14,1171:1,1535:1,575:1,3196,36,45,88,59,3.4,27,5.1,33,10.8,72,No,13,87,25,
01071,Alabama,Jackson,20,4.2,5.8,9,22,40,6.9,29,38,16,24,251.8,31,13,1910:1,3298:1,1885:1,3388,45,44,82,49,2.9,27,4.8,25,8.3,95,Yes,10,85,40,
01073,Alabama,Jefferson,17,3.3,5.0,11,16,39,6.7,25,80,15,14,777.6,25,10,875:1,1107:1,443:1,3115,41,48,91,69,3.6,24,5.4,37,14.2,108,No,15,81,35,
01075,Alabama,Lamar,20,4.0,5.5,9,22,39,7.3,29,9,17,24,188.3,37,12,,4563:1,4563:1,3770,35,43,82,48,3.0,25,5.4,19,8.0,101,No,9,89,40,
01077,Alabama,Lauderdale,17,3.6,5.2,10,19,39,7.3,26,57,17,18,490.7,20,12,1867:1,1742:1,570:1,3148,35,54,89,57,3.2,23,4.6,25,13.6,80,No,12,84,32,
01079,Alabama,Lawrence,21,4.1,5.6,9,23,39,7.0,30,57,16,23,267.3,35,15,6571:1,11030:1,788:1,4789,31,39,83,53,2.9,23,4.4,23,11.3,103,No,10,90,52,
01081,Alabama,Lee,17,3.6,4.9,9,17,37,6.8,25,60,17,30,354.3,15,11,1918:1,3055:1,900:1,2549,36,47,91,75,2.8,18,6.6,28,8.6,64,No,17,82,27,
01083,Alabama,Limestone,17,3.7,4.9,9,19,35,7.5,26,43,17,25,309.4,22,12,2690:1,3360:1,1955:1,3192,38,49,87,65,2.5,12,4.5,16,8.4,60,No,11,86,43,
01085,Alabama,Lowndes,28,4.6,5.5,15,24,49,4.7,37,1,12,30,935.6,30,12,9641:1,,,3979,33,37,85,44,9.2,43,5.9,54,5.2,127,No,18,84,58,
01087,Alabama,Macon,26,4.2,5.3,13,21,47,5.3,35,40,13,28,791.5,21,13,2983:1,3779:1,242:1,3408,33,34,84,55,6.0,43,5.4,55,6.7,111,No,16,82,41,
01089,Alabama,Madison,15,3.1,4.8,10,16,35,7.4,23,74,16,33,675.8,18,10,1150:1,1937:1,585:1,3094,44,47,92,76,2.7,14,5.0,26,10.6,74,No,11,83,27,
01091,Alabama,Marengo,23,4.1,5.3,12,21,44,6.0,32,48,13,25,567.2,25,11,2676:1,3799:1,3166:1,3617,33,39,87,51,4.2,34,6.3,44,15.5,99,Yes,13,84,35,
01093,Alabama,Marion,20,4.1,5.5,9,23,38,7.1,30,48,16,25,202.0,39,12,3713:1,5849:1,4178:1,4616,34,38,81,57,2.8,25,4.8,22,8.8,85,No,11,87,31,
01095,Alabama,Marshall,19,3.8,5.2,8,21,40,6.7,30,53,15,21,300.7,45,15,1732:1,2807:1,360:1,3610,33,50,84,54,2.4,22,4.7,26,9.5,87,No,12,85,34,
01097,Alabama,Mobile,20,3.8,5.2,12,20,39,6.6,28,64,17,33,731.3,31,12,1413:1,1948:1,879:1,4148,32,44,88,58,4.7,25,5.2,35,10.9,86,No,15,85,37,
01099,Alabama,Monroe,24,4.2,5.3,12,23,44,6.0,32,41,14,20,602.9,34,13,2557:1,3930:1,893:1,3318,33,39,82,37,5.6,33,5.9,42,13.2,97,No,13,91,28,
01101,Alabama,Montgomery,20,3.7,5.2,13,17,49,6.5,31,69,14,30,924.1,35,12,956:1,1264:1,535:1,3307,40,39,88,64,4.9,34,5.3,46,14.5,73,No,17,83,21,
01103,Alabama,Morgan,19,3.7,5.1,9,21,40,7.1,28,71,17,19,344.3,35,15,1934:1,1932:1,625:1,4102,33,49,85,56,2.6,17,4.7,25,11.9,89,No,12,88,33,
01105,Alabama,Perry,32,5.1,5.7,14,27,51,3.4,41,55,11,70,504.3,22,12,2896:1,4178:1,1671:1,2826,26,26,79,37,8.3,50,4.5,64,9.2,94,No,19,79,47,
01107,Alabama,Pickens,24,4.3,5.3,13,23,42,6.9,34,4,14,23,366.3,32,13,2828:1,4700:1,2686:1,3672,34,48,83,44,4.1,30,4.8,43,9.6,94,No,10,85,60,
01109,Alabama,Pike,20,3.8,5.4,11,20,39,6.7,30,61,15,30,875.8,17,12,2355:1,2999:1,1320:1,2714,37,36,87,60,3.2,30,6.3,42,9.4,73,No,16,84,24,
01111,Alabama,Randolph,20,3.9,5.3,9,21,43,6.4,30,41,16,56,378.5,38,13,4584:1,7330:1,3141:1,2268,26,33,80,48,2.7,30,5.5,29,10.0,98,No,12,86,44,
01113,Alabama,Russell,22,4.0,5.6,11,22,42,6.7,33,56,14,17,641.8,33,12,4853:1,3915:1,1894:1,3048,39,42,85,64,3.1,31,5.1,40,9.4,107,No,18,84,36,
01115,Alabama,St. Clair,17,3.6,5.3,9,20,38,7.9,26,49,16,17,271.5,28,12,6980:1,3567:1,4033:1,3331,37,45,86,57,2.6,17,4.0,20,7.8,96,No,11,86,55,
01117,Alabama,Shelby,13,2.9,4.6,8,14,33,8.3,21,74,17,22,280.2,12,9,1223:1,1973:1,961:1,2858,38,46,94,78,2.1,9,3.9,17,10.2,59,Yes,9,81,49,
01119,Alabama,Sumter,27,4.5,5.4,14,23,48,5.9,36,33,12,31,667.9,23,12,1746:1,6082:1,4055:1,3940,46,34,87,61,4.5,48,5.9,52,9.8,109,No,14,82,43,
01121,Alabama,Talladega,22,4.1,5.4,11,22,42,6.7,32,50,15,24,507.6,29,12,3478:1,2912:1,3136:1,3722,34,40,83,52,4.1,27,5.3,38,12.0,101,No,13,83,36,
01123,Alabama,Tallapoosa,21,4.0,5.4,14,22,40,7.3,31,60,16,24,270.0,35,14,2112:1,3419:1,2930:1,2890,35,48,82,50,4.0,28,5.4,39,13.7,101,No,14,84,40,
01125,Alabama,Tuscaloosa,18,3.6,5.6,11,18,42,7.2,29,75,17,28,709.3,20,10,1378:1,2226:1,634:1,4425,39,45,90,64,3.6,18,5.1,32,10.1,65,No,16,82,28,
01127,Alabama,Walker,21,4.3,6.0,11,23,36,6.9,30,40,16,22,225.1,42,12,2255:1,2091:1,913:1,4173,38,41,82,57,3.6,28,5.1,29,14.7,115,No,12,83,42,
01129,Alabama,Washington,22,4.1,5.4,12,23,43,7.3,30,10,15,30,447.1,31,14,7988:1,7574:1,3029:1,2990,31,25,86,51,4.7,31,8.0,32,13.8,113,No,8,88,55,
01131,Alabama,Wilcox,29,4.8,5.4,14,25,51,4.1,39,2,12,41,713.4,43,12,5103:1,10446:1,10446:1,3176,30,28,79,45,11.0,49,6.2,65,5.9,121,Yes,11,85,43,
01133,Alabama,Winston,21,4.3,5.6,10,24,40,7.2,32,76,16,19,224.3,41,14,2939:1,5913:1,4730:1,7474,37,40,79,48,2.8,27,4.5,21,9.4,97,No,10,76,44,
02000,Alaska,,12,3.0,3.3,6,18,32,6.8,21,76,20,37,695.8,23,13,1025:1,969:1,148:1,1820,30,36,93,65,6.4,14,4.2,20,11.4,100,,20,67,17,
02013,Alaska,Aleutians East,15,3.0,3.1,,18,29,7.3,28,11,16,,149.8,,21,,3398:1,1133:1,,,,85,52,2.3,16,4.7,28,0.0,,Yes,13,24,0,
02016,Alaska,Aleutians West,12,2.7,3.0,7,16,30,8.0,26,81,18,100,142.0,,21,2840:1,1012:1,562:1,,,,91,51,3.6,7,2.8,16,0.0,60,No,18,54,1,
02020,Alaska,Anchorage,11,2.8,3.6,6,16,29,8.3,20,91,22,26,780.6,20,11,839:1,766:1,148:1,1928,32,40,94,72,5.8,11,4.0,20,11.6,89,Yes,17,74,14,
02050,Alaska,Bethel,25,5.0,4.8,7,34,38,2.7,34,92,20,71,2382.2,58,19,922:1,687:1,36:1,3100,4,3,82,32,13.1,27,5.9,24,4.3,211,Yes,60,23,0,
02060,Alaska,Bristol Bay,12,3.2,4.0,,18,36,7.4,21,6,23,,,,18,788:0,838:1,838:0,574,31,37,95,68,5.6,20,3.6,15,0.0,,No,10,67,5,
02068,Alaska,Denali,12,2.9,3.8,,17,31,4.2,20,72,22,29,238.4,,13,,1593:0,,,,,98,63,10.1,8,4.9,11,0.0,,No,24,26,28,
02070,Alaska,Dillingham,21,4.3,5.2,6,28,39,4.7,29,47,20,50,1586.7,39,17,403:1,682:1,111:1,2154,15,15,87,47,8.2,31,4.3,35,0.0,175,No,40,34,4,
02090,Alaska,Fairbanks North Star,12,3.1,4.1,6,16,31,8.2,21,76,21,37,721.7,23,12,1152:1,688:1,130:1,1009,32,39,94,70,5.0,9,3.8,18,9.7,88,Yes,23,74,18,
02100,Alaska,Haines,12,3.1,3.8,,18,31,6.3,21,97,22,67,,,12,436:1,1036:1,296:1,549,8,21,98,61,11.3,17,6.1,4,0.0,87,Yes,29,47,3,
02105,Alaska,Hoonah-Angoon,15,3.5,4.3,,22,36,4.8,23,42,23,,,37,20,,2332:0,466:1,,,,94,49,9.3,26,4.4,21,0.0,,No,18,35,25,
02110,Alaska,Juneau,10,2.7,3.7,5,15,27,8.7,18,100,21,71,378.4,10,10,777:1,969:1,106:1,1285,32,45,95,72,4.7,9,3.9,17,14.8,87,No,14,66,9,
02122,Alaska,Kenai Peninsula,12,3.2,3.9,5,19,32,7.4,23,74,22,22,243.6,18,14,1292:1,1423:1,285:1,,,,94,60,7.3,14,4.8,18,16.7,95,Yes,19,70,17,
02130,Alaska,Ketchikan Gateway,12,3.0,3.9,7,17,34,8.3,21,81,21,50,194.2,18,14,809:1,1250:1,68:1,1646,35,43,94,64,7.4,13,4.4,20,13.8,95,Yes,18,67,6,
02150,Alaska,Kodiak Island,11,2.7,3.4,5,16,30,7.6,22,99,20,,207.7,16,19,722:1,1598:1,237:1,1039,20,38,90,70,6.4,9,3.8,13,13.9,69,Yes,19,59,2,
02158,Alaska,Kusilvak,33,6.1,5.6,7,41,43,,40,100,17,100,3139.3,83,18,,,929:1,2642,,2,80,21,19.9,41,4.4,31,0.0,248,Yes,68,7,0,
02164,Alaska,Lake and Peninsula,18,4.0,4.5,5,25,37,3.6,26,17,20,,314.1,,21,1493:0,1416:0,472:1,,,,89,58,8.9,28,4.6,31,0.0,280,Yes,29,28,2,
02170,Alaska,Matanuska-Susitna,12,3.2,3.7,6,19,34,7.7,23,47,21,35,361.9,16,13,2004:1,2012:1,342:1,1756,34,34,94,59,6.8,12,4.4,17,7.8,90,Yes,20,74,42,
02180,Alaska,Nome,22,4.7,4.7,6,30,35,5.9,30,47,20,70,1579.4,59,17,826:1,987:1,97:1,3557,19,3,88,40,9.7,24,5.2,28,6.1,203,Yes,50,24,0,
02185,Alaska,North Slope,16,3.5,3.8,6,24,38,7.9,27,7,22,33,956.1,52,16,4647:1,1372:1,997:1,,,,88,53,6.3,16,4.1,31,3.2,118,No,43,21,5,
02188,Alaska,Northwest Arctic,23,4.8,4.7,8,31,42,4.2,32,3,21,0,2243.8,67,18,1274:1,3780:1,98:1,,,,84,34,11.5,28,5.3,27,6.5,230,Yes,49,17,0,
02195,Alaska,Petersburg,12,3.0,3.9,,18,31,8.5,21,16,22,100,,,16,659:1,1119:1,240:1,,,,91,67,7.0,11,4.1,19,9.1,74,No,14,59,2,
02198,Alaska,Prince of Wales-Hyder,17,3.9,4.4,5,25,34,6.6,26,32,21,43,370.8,20,21,878:1,1910:1,127:1,,,,92,53,8.0,23,4.8,22,13.0,158,No,20,55,14,
